t_index    term                 df
6681       la                   33
6682       lab                  8
6683       label                7
6684       labor                23
6685       laboratori           12
6686       labori               1
6687       labu                 1
6688       lac                  1
6689       lace                 3
6690       lacey                1
6691       lacina               1
6692       lack                 46
6693       lackey               3
6694       lacki                1
6695       ladder               5
6696       laden                87
6697       ladeninspir          1
6698       ladi                 32
6699       lae                  1
6700       lafayett             2
6701       lag                  3
6702       lahat                1
6703       lahej                5
6704       lahiri               1
6705       laid                 16
6706       laidback             1
6707       laidout              1
6708       lain                 2
6709       lair                 1
6710       lake                 6
6711       lakeina              2
6712       lakiba               2
6713       lakshmi              3
6714       lal                  1
6715       lam                  4
6716       lamb                 1
6717       lambast              1
6718       lambent              1
6719       lambert              2
6720       lameduck             2
6721       lament               3
6722       lamont               1
6723       lamp                 2
6724       lan                  2
6725       lancast              1
6726       lanchin              1
6727       land                 53
6728       landlord             6
6729       landmark             6
6730       landmin              1
6731       landown              1
6732       landscap             3
6733       landslid             42
6734       landstuhl            21
6735       lane                 3
6736       lang                 1
6737       langdon              1
6738       langhorn             1
6739       langston             1
6740       languag              16
6741       languish             2
6742       lans                 1
6743       lanviara             1
6744       lao                  4
6745       lap                  2
6746       lapdog               1
6747       lapel                3
6748       lapentti             1
6749       laps                 16
6750       laquawensa           1
6751       lar                  3
6752       lara                 5
6753       lard                 1
6754       larg                 95
6755       larger               31
6756       largerthanlif        2
6757       largescal            3
6758       largess              1
6759       largest              78
6760       laron                1
6761       larri                34
6762       larson               3
6763       lasal                1
6764       laser                2
6765       lash                 5
6766       lastday              1
6767       lastdayinoffic       1
6768       lastditch            3
6769       lastminut            10
6770       latch                2
6771       late                 159
6772       latecom              2
6773       latenight            1
6774       latent               2
6775       latest               60
6776       latham               3
6777       latifah              1
6778       latin                18
6779       laud                 4
6780       lauderdal            2
6781       laugh                6
6782       laughter             2
6783       launch               51
6784       launder              23
6785       laundri              1
6786       laura                4
6787       lauran               1
6788       laurent              29
6789       lauri                1
6790       lautenberg           6
6791       laver                11
6792       lavish               2
6793       lavishli             1
6794       law                  118
6795       lawabid              1
6796       lawandord            1
6797       lawenforc            2
6798       lawless              6
6799       lawmak               41
6800       lawn                 5
6801       lawrenc              10
6802       lawsuit              2
6803       lawton               3
6804       lawyer               72
6805       lax                  7
6806       laxiti               2
6807       laxman               3
6808       lay                  24
6809       layer                3
6810       layoff               2
6811       layov                3
6812       lazarevac            1
6813       lazi                 1
6814       lazili               1
6815       lazio                15
6816       lazo                 1
6817       le                   8
6818       lead                 179
6819       leadem               1
6820       leader               300
6821       leadership           34
6822       leagu                4
6823       leak                 15
6824       lean                 7
6825       leap                 4
6826       leapahead            1
6827       learn                59
6828       learnt               2
6829       leas                 1
6830       leather              2
6831       leav                 195
6832       leavenworth          2
6833       leaveorstay          3
6834       leavitt              1
6835       lebanes              3
6836       lebanon              12
6837       lectur               2
6838       led                  118
6839       lee                  13
6840       leechinfest          4
6841       lefortovo            14
6842       lefrotovo            1
6843       left                 245
6844       leftist              20
6845       leftlean             6
6846       leftov               4
6847       leg                  37
6848       legaci               12
6849       legal                66
6850       legend               5
6851       legendari            2
6852       legion               1
6853       legisl               36
6854       legislatur           19
6855       legitim              12
6856       legitimaci           11
6857       lehan                1
6858       lehrer               3
6859       leicest              1
6860       leidig               1
6861       lend                 11
6862       lender               2
6863       lendl                1
6864       length               8
6865       lengthi              9
6866       lenienc              4
6867       lenient              1
6868       leningradski         2
6869       lennard              1
6870       lent                 1
6871       leon                 5
6872       leonard              10
6873       leposava             1
6874       leprinc              1
6875       lesbian              1
6876       lesion               1
6877       lesley               1
6878       lesli                2
6879       lessdamag            2
6880       lessen               1
6881       lesser               4
6882       lesson               12
6883       lessongiv            2
6884       letdown              1
6885       lethal               2
6886       letter               75
6887       letterwrit           1
6888       letup                1
6889       leve                 1
6890       level                94
6891       lever                3
6892       leverag              2
6893       lewi                 1
6894       lewinski             3
6895       lexingtonfrankfort   4
6896       lg                   1
6897       li                   3
6898       liabil               1
6899       liar                 5
6900       libbi                2
6901       liber                29
6902       liberia              3
6903       liberti              8
6904       libido               1
6905       librari              3
6906       libya                3
6907       libyan               3
6908       licens               19
6909       lid                  1
6910       lida                 1
6911       lie                  45
6912       lieberman            26
6913       lien                 1
6914       lieuten              14
6915       lieutenantcaptain    1
6916       life                 132
6917       lifeless             1
6918       lifelong             1
6919       lifestyl             2
6920       lifetim              4
6921       lift                 81
6922       light                45
6923       lightblu             1
6924       lightbrown           2
6925       lightbulb            1
6926       lighter              2
6927       lightheartedli       2
6928       lightli              4
6929       lightn               4
6930       likelihood           3
6931       liken                1
6932       likin                2
6933       lilic                1
6934       lima                 33
6935       limb                 12
6936       lime                 4
6937       limit                37
6938       limousin             10
6939       limp                 5
6940       limpli               1
6941       lincoln              7
6942       linda                6
6943       lindenhurt           2
6944       lindi                1
6945       lindsay              41
6946       lindsey              2
6947       lineman              1
6948       liner                1
6949       lineup               4
6950       linger               16
6951       linguist             1
6952       link                 83
6953       lion                 1
6954       lionel               1
6955       lioniz               1
6956       lip                  2
6957       lipent               1
6958       lippin               1
6959       lippold              18
6960       liquid               2
6961       lir                  1
6962       lisa                 17
6963       lisnard              2
6964       list                 97
6965       listen               28
6966       lister               1
6967       lists                1
6968       lit                  7
6969       liter                12
6970       literaci             1
6971       literatur            2
6972       lith                 1
6973       liton                1
6974       litter               3
6975       littl                9
6976       littleknown          2
6977       litton               6
6978       littor               1
6979       liturgi              1
6980       liv                  1
6981       live                 215
6982       liveliest            1
6983       liver                1
6984       llagostera           3
6985       lleyton              7
6986       llosa                3
6987       lloyd                3
6988       lo                   16
6989       load                 50
6990       loader               5
6991       loan                 22
6992       loayza               2
6993       lob                  8
6994       lobbi                7
6995       lobbyist             1
6996       lobito               2
6997       local                100
6998       locani               2
6999       locat                49
7000       lock                 19
7001       locker               1
7002       lockerbi             2
7003       lockup               1
7004       locu                 1
7005       lodg                 1
7006       loft                 2
7007       lofti                2
7008       loftiest             1
7009       log                  6
7010       logic                5
7011       logist               12
7012       logvinovich          1
7013       lohna                1
7014       loi                  1
7015       loit                 1
7016       london               26
7017       londonbas            7
7018       lone                 8
7019       long                 214
7020       longabandon          2
7021       longbitt             1
7022       longer               64
7023       longerterm           2
7024       longest              1
7025       longestsought        1
7026       longestsurviv        1
7027       longev               1
7028       longhair             1
7029       longplan             1
7030       longrang             1
7031       longreach            1
7032       longres              2
7033       longrul              2
7034       longshot             2
7035       longsimm             2
7036       longstand            8
7037       longsuff             1
7038       longsuppress         1
7039       longterm             9
7040       longtim              30
7041       lookout              3
7042       lookse               1
7043       loom                 7
7044       loop                 1
7045       loophol              2
7046       loos                 23
7047       looseend             1
7048       loosen               7
7049       looser               2
7050       loot                 11
7051       lopez                6
7052       lopsid               4
7053       loran                6
7054       lord                 6
7055       lore                 1
7056       lorensen             1
7057       lorenzo              6
7058       lori                 1
7059       loron                2
7060       lorri                1
7061       lose                 79
7062       loser                7
7063       loss                 62
7064       lost                 150
7065       lot                  132
7066       lott                 6
7067       lotteri              1
7068       lou                  1
7069       loud                 13
7070       loudli               1
7071       loudspeak            9
7072       loug                 1
7073       loui                 65
7074       louisarea            1
7075       louisiana            6
7076       louisvil             4
7077       lourd                1
7078       lousi                3
7079       love                 49
7080       lowcut               2
7081       lowel                3
7082       lowerlevel           1
7083       lowerrank            1
7084       lowest               4
7085       lowestseed           1
7086       lowgrad              4
7087       lowincom             2
7088       lowkey               3
7089       lowlevel             6
7090       lowprofil            2
7091       lowtech              2
7092       loyal                16
7093       loyalist             17
7094       loyalti              8
7095       lsd                  1
7096       lt                   53
7097       lubbock              1
7098       luci                 1
7099       lucia                2
7100       luciano              1
7101       lucio                2
7102       luck                 4
7103       lucki                20
7104       luckier              1
7105       luckiest             3
7106       lucr                 2
7107       ludwig               1
7108       lugar                3
7109       luggag               1
7110       lui                  8
7111       lukin                1
7112       lumber               3
7113       lumberjack           1
7114       luna                 1
7115       lunch                12
7116       luncheon             3
7117       lunchtim             2
7118       lung                 9
7119       luong                6
7120       lurid                1
7121       lurin                1
7122       lush                 1
7123       lust                 1
7124       luther               2
7125       lutheran             1
7126       luxembourg           3
7127       luxor                2
7128       luxuri               5
7129       lvador               1
7130       lyhoogatnytimescom   1
7131       lynch                2
7132       lyndon               8
7133       lynn                 2
7134       lyon                 1
7135       lyric                3
7136       m16                  1
7137       ma                   1
7138       mac                  4
7139       macarthur            1
7140       macdonald            4
7141       maceda               11
7142       macedonia            2
7143       machaca              3
7144       machet               6
7145       machin               23
7146       machineri            4
7147       machinist            1
7148       mack                 8
7149       macon                1
7150       mad                  4
7151       madden               1
7152       maddock              1
7153       madelein             42
7154       madelin              4
7155       madinat              1
7156       madison              3
7157       madix                1
7158       madra                4
7159       madrassah            1
7160       madrid               14
7161       maelstrom            1
7162       mafia                3
7163       magana               6
7164       maganbhai            4
7165       magazin              13
7166       mager                1
7167       maggi                1
7168       magic                2
7169       magistr              3
7170       magnanim             3
7171       magnat               3
7172       magnet               1
7173       magnifi              4
7174       magnific             1
7175       magnitogorsk         2
7176       magnitud             40
7177       magnitude57          1
7178       magnitude6           3
7179       magnitude76          7
7180       magnitude79          4
7181       magnu                14
7182       magnum               4
7183       mahajan              2
7184       mahatma              1
7185       mahesh               1
7186       mahmood              1
7187       mahmoud              1
7188       mahogani             1
7189       mahopac              1
7190       mahur                3
7191       maiden               1
7192       mail                 14
7193       maim                 3
7194       main                 117
7195       mainagashev          1
7196       mainland             1
7197       mainli               1
7198       mainstay             1
7199       maintain             48
7200       mainten              19
7201       mainupl              1
7202       maj                  5
7203       majdanpek            1
7204       majoli               6
7205       major                198
7206       majorityalbanian     1
7207       majorparti           1
7208       maker                2
7209       makeshift            17
7210       maketa               1
7211       makeup               1
7212       malaysia             4
7213       malaysian            3
7214       malca                1
7215       malcolm              2
7216       male                 2
7217       malevol              4
7218       malfunct             13
7219       malhotra             1
7220       mali                 3
7221       malic                2
7222       maliss               1
7223       malivai              1
7224       mall                 5
7225       malnourish           1
7226       malnutrit            1
7227       malon                1
7228       maloney              2
7229       mama                 1
7230       mamad                2
7231       mamansk              1
7232       mammoth              2
7233       man                  202
7234       manag                88
7235       manama               4
7236       mananga              1
7237       manannikova          1
7238       manau                1
7239       manchest             1
7240       mandat               9
7241       mandatori            7
7242       mandela              1
7243       maneuv               27
7244       mangal               1
7245       mangl                12
7246       mangu                1
7247       manhattan            10
7248       manhunt              27
7249       mani                 13
7250       mania                3
7251       manifest             1
7252       manifold             1
7253       manind               1
7254       manipul              27
7255       manmad               2
7256       mann                 4
7257       manner               15
7258       manorama             1
7259       mansfield            1
7260       mansi                1
7261       mansion              21
7262       mansiz               2
7263       mansoob              1
7264       mansoon              1
7265       mantra               4
7266       manual               2
7267       manuel               5
7268       manufactur           12
7269       maoist               2
7270       map                  8
7271       maquiladora          1
7272       mar                  20
7273       maradiaga            1
7274       maraniss             1
7275       marat                27
7276       marathon             6
7277       marbella             1
7278       marbl                2
7279       marblehal            1
7280       marburi              1
7281       marc                 23
7282       marcela              1
7283       marcelo              2
7284       march                59
7285       marchenko            1
7286       marcher              6
7287       marci                1
7288       marco                7
7289       marg                 1
7290       margaret             4
7291       margin               25
7292       margolin             2
7293       mari                 27
7294       maria                13
7295       mariam               1
7296       mariana              2
7297       mariano              1
7298       marietta             3
7299       marija               1
7300       marijuana            5
7301       marilyn              4
7302       marin                39
7303       marineborn           1
7304       mario                9
7305       marit                2
7306       maritim              17
7307       marjanov             2
7308       mark                 85
7309       market               33
7310       marketplac           2
7311       marko                11
7312       markov               10
7313       marlborough          2
7314       marlen               2
7315       marlin               15
7316       marlton              1
7317       marmian              1
7318       maroon               1
7319       marquez              15
7320       marrero              2
7321       marri                7
7322       marriag              5
7323       marroquin            1
7324       marrow               1
7325       marsha               1
7326       marshal              12
7327       marshallfor          1
7328       marshallreport       1
7329       marta                2
7330       martha               2
7331       marti                1
7332       martial              1
7333       martin               20
7334       martina              40
7335       martinez             8
7336       martyr               3
7337       martz                1
7338       marv                 1
7339       marvel               2
7340       marxist              11
7341       maryland             3
7342       masia                1
7343       mask                 5
7344       masondixon           3
7345       masonri              11
7346       masquerad            1
7347       mass                 38
7348       massachusett         4
7349       massachusettss       1
7350       massacr              6
7351       masseus              1
7352       massi                2
7353       massif               1
7354       massiv               65
7355       mast                 1
7356       master               10
7357       masteri              1
7358       mastermind           33
7359       mat                  1
7360       match                68
7361       matchup              6
7362       mate                 18
7363       materi               42
7364       math                 1
7365       mathemat             3
7366       mathewson            2
7367       mathieu              1
7368       matic                4
7369       matt                 1
7370       matter               76
7371       matteroffact         1
7372       matthew              8
7373       mattingli            1
7374       mattress             5
7375       matur                2
7376       mauresmo             6
7377       mauricio             1
7378       mauritania           4
7379       mauro                1
7380       mausoleum            3
7381       maxim                2
7382       maximalist           1
7383       maximum              20
7384       maximumsecur         17
7385       mayb                 9
7386       mayhem               3
7387       mayor                30
7388       maze                 2
7389       mb                   1
7390       mbeki                3
7391       mcalest              3
7392       mcarthur             1
7393       mcauliff             4
7394       mcavoy               1
7395       mccain               5
7396       mccarthi             2
7397       mcclean              1
7398       mcclure              1
7399       mccollum             7
7400       mccomb               1
7401       mcconnel             1
7402       mcdaniel             1
7403       mcdonald             2
7404       mcdoogl              3
7405       mcdougal             12
7406       mcduff               1
7407       mcduge               1
7408       mcenro               2
7409       mcgwire              2
7410       mci                  1
7411       mcintosh             1
7412       mcnamara             1
7413       mcveigh              1
7414       md                   6
7415       meager               2
7416       meal                 6
7417       meaning              2
7418       meant                22
7419       meantim              14
7420       meanwhil             70
7421       measur               69
7422       meat                 3
7423       mecca                2
7424       mechan               10
7425       mechanicsvil         3
7426       medal                10
7427       medalist             5
7428       media                68
7429       mediat               16
7430       medic                92
7431       medicar              13
7432       medicin              18
7433       medina               5
7434       medinat              2
7435       mediterranean        6
7436       medium               3
7437       mediumlevel          1
7438       mediumsecur          2
7439       meena                1
7440       meet                 171
7441       megaphon             1
7442       meghann              3
7443       megrahi              1
7444       meguid               1
7445       mehta                3
7446       mei                  1
7447       mel                  67
7448       mela                 3
7449       melancholi           1
7450       melbourn             28
7451       mele                 7
7452       melissa              6
7453       mell                 1
7454       mellman              1
7455       melros               1
7456       melt                 3
7457       melvin               4
7458       member               195
7459       membership           4
7460       memento              1
7461       memo                 5
7462       memoir               1
7463       memor                4
7464       memorandum           1
7465       memori               58
7466       memphi               1
7467       men                  217
7468       menac                1
7469       mend                 3
7470       menet                1
7471       mengistu             1
7472       mensch               1
7473       mental               15
7474       mention              37
7475       mentor               1
7476       menu                 2
7477       mer                  1
7478       merced               3
7479       merchant             6
7480       merci                6
7481       merciless            1
7482       mere                 4
7483       merg                 3
7484       merger               2
7485       meri                 2
7486       merianov             1
7487       merit                13
7488       merlin               1
7489       mermonsk             1
7490       mermosk              1
7491       mern                 1
7492       merri                2
7493       mershon              8
7494       mesh                 2
7495       mesmer               1
7496       mess                 17
7497       messag               44
7498       messeng              1
7499       met                  80
7500       metal                32
7501       metalcutt            1
7502       metaledg             1
7503       metallurg            2
7504       metalsl              1
7505       metaphor             3
7506       meteorolog           6
7507       meteorologist        3
7508       meter                2
7509       method               15
7510       methodist            2
7511       methodolog           1
7512       methyl               1
7513       meticul              4
7514       metropolitan         1
7515       mexican              4
7516       mexico               34
7517       mi                   2
7518       mia                  12
7519       miami                13
7520       miamid               1
7521       miamidad             2
7522       miand                1
7523       micandinov           1
7524       mich                 7
7525       michael              43
7526       michal               3
7527       michel               4
7528       michella             1
7529       michigan             18
7530       mickelson            3
7531       mickli               1
7532       microphon            2
7533       microscop            2
7534       micunov              1
7535       mid                  5
7536       mid1980              1
7537       mid1990              10
7538       mid1996              1
7539       mid30                1
7540       mid40                1
7541       mid90                1
7542       midafternoon         6
7543       midday               12
7544       middecemb            2
7545       middl                125
7546       middleclass          8
7547       mideast              25
7548       midgulf              1
7549       midmorn              1
7550       midnight             19
7551       midnovemb            2
7552       midoctob             1
7553       midpoint             1
7554       midsect              3
7555       midseptemb           4
7556       midst                7
7557       midstream            1
7558       midway               2
7559       midweek              1
7560       midwest              3
7561       midwestern           1
7562       mif                  1
7563       mift                 1
7564       mig                  1
7565       mighti               3
7566       migrant              2
7567       migrat               5
7568       miguel               11
7569       mihailova            1
7570       mihajlov             3
7571       miiltari             1
7572       mik                  1
7573       mike                 22
7574       mikhail              8
7575       mikhailov            1
7576       mikilo               1
7577       miklaszeski          1
7578       miklaszewski         14
7579       miklaszweski         1
7580       milagro              2
7581       milan                10
7582       milanko              1
7583       milanov              2
7584       mild                 7
7585       mildli               1
7586       mildr                1
7587       mile                 129
7588       mileston             2
7589       milica               2
7590       milit                38
7591       militantli           2
7592       militar              3
7593       militari             281
7594       militarili           8
7595       militarystyl         1
7596       militarytim          1
7597       militia              2
7598       militiamen           1
7599       milivoj              1
7600       milivojev            1
7601       milk                 1
7602       milken               17
7603       millenni             1
7604       millennium           4
7605       miller               6
7606       millimet             2
7607       millionair           15
7608       milliondollar        1
7609       milo                 3
7610       milosev              134
7611       miloseviccontrol     7
7612       milosov              1
7613       milovan              2
7614       milroy               1
7615       milutin              4
7616       milutinov            9
7617       milwauke             3
7618       min                  1
7619       minaret              2
7620       minc                 1
7621       mind                 36
7622       minder               1
7623       mindset              1
7624       minefield            1
7625       mineinfest           1
7626       miner                20
7627       mineremov            1
7628       minesweep            1
7629       ming                 1
7630       mingl                3
7631       minh                 24
7632       miniatur             1
7633       minim                3
7634       minimum              13
7635       minist               171
7636       ministri             35
7637       minivan              1
7638       minn                 3
7639       minneapoli           2
7640       minner               1
7641       minnesota            12
7642       minnesotan           1
7643       minor                39
7644       mint                 1
7645       minus13              2
7646       minus7               2
7647       minut                92
7648       mira                 3
7649       miracl               10
7650       miracul              6
7651       miranda              3
7652       mirco                1
7653       miriam               1
7654       mirjana              9
7655       mirko                2
7656       miroljub             1
7657       miroslav             2
7658       miroslava            2
7659       mirror               3
7660       misappli             2
7661       miscalcul            1
7662       misconduct           1
7663       misconstru           1
7664       miscu                1
7665       misde                2
7666       misdemeanor          8
7667       miser                4
7668       miseri               1
7669       misfir               3
7670       misfortun            1
7671       misguid              1
7672       misha                2
7673       mishandl             6
7674       mishap               1
7675       mishra               1
7676       misinform            2
7677       misl                 2
7678       mislead              1
7679       mismanag             3
7680       mismatch             4
7681       misnom               1
7682       mispronounc          1
7683       misrepres            1
7684       misrepresent         1
7685       missil               52
7686       mission              55
7687       missionari           3
7688       mississippi          13
7689       missouri             67
7690       missourian           6
7691       missouricolumbia     1
7692       misspel              1
7693       misstat              3
7694       misstep              2
7695       mistak               32
7696       mistaken             3
7697       mistreat             4
7698       mistress             6
7699       mistrust             1
7700       misunderstand        3
7701       misunderstood        4
7702       misus                2
7703       mitch                5
7704       mitchel              7
7705       mitic                2
7706       mitig                5
7707       mitra                1
7708       mitrovica            1
7709       mittman              1
7710       mix                  26
7711       mixtur               3
7712       mladic               2
7713       mladjan              3
7714       mo                   5
7715       moammar              1
7716       moan                 1
7717       mob                  27
7718       mobil                17
7719       mock                 5
7720       mockeri              1
7721       mode                 4
7722       model                12
7723       moder                29
7724       modern               24
7725       modest               7
7726       modifi               6
7727       mofrt                1
7728       mogul                5
7729       moham                24
7730       mohammad             1
7731       mohm                 1
7732       mohsen               3
7733       moin                 1
7734       molass               1
7735       mold                 1
7736       mole                 1
7737       molest               1
7738       molotov              1
7739       mom                  5
7740       momcilo              1
7741       moment               110
7742       momentbymo           1
7743       moments              1
7744       momentum             12
7745       momir                5
7746       mommi                1
7747       mona                 1
7748       monarch              1
7749       monarchi             1
7750       monasteri            1
7751       monday               207
7752       monetari             13
7753       money                110
7754       moneylaund           6
7755       mong                 1
7756       monger               1
7757       monica               32
7758       moniqu               1
7759       monitor              15
7760       monopol              1
7761       monoxid              2
7762       monsignor            1
7763       mont                 1
7764       montana              9
7765       montecino            5
7766       montelo              1
7767       montenegrin          7
7768       montenegro           23
7769       montesino            41
7770       montesinoss          1
7771       montesseno           1
7772       montgomeri           2
7773       month                261
7774       monthli              1
7775       monthlong            1
7776       monticello           1
7777       montonegro           1
7778       montono              1
7779       montoursvil          1
7780       monument             3
7781       moo                  1
7782       mood                 19
7783       moolgd               1
7784       moon                 1
7785       mooney               1
7786       mooni                1
7787       moor                 35
7788       moorin               1
7789       moot                 1
7790       mope                 1
7791       moral                38
7792       morali               1
7793       morariu              4
7794       moratorium           5
7795       morelimit            1
7796       moreno               8
7797       moreov               2
7798       moresmo              1
7799       morgan               1
7800       morgu                8
7801       mori                 5
7802       morison              1
7803       mork                 1
7804       morn                 138
7805       moroccan             1
7806       morocco              8
7807       moros                1
7808       morph                1
7809       morrano              1
7810       morri                2
7811       morrisvil            2
7812       mortal               2
7813       mortar               4
7814       morton               3
7815       moscow               79
7816       mosqu                14
7817       mosquito             1
7818       mossad               1
7819       mostvisit            1
7820       mostwant             7
7821       motahar              1
7822       motel                8
7823       motelapart           1
7824       moth                 1
7825       mother               64
7826       motherland           1
7827       motherless           1
7828       motion               11
7829       motiv                19
7830       motley               1
7831       motor                19
7832       motorbik             1
7833       motorcad             11
7834       motorcycl            6
7835       motorist             1
7836       motsak               4
7837       motto                2
7838       mound                11
7839       mount                38
7840       mountain             37
7841       mountainsid          6
7842       mountaintop          1
7843       mourn                21
7844       mourner              12
7845       mourton              1
7846       mouth                4
7847       mouthpiec            3
7848       movement             37
7849       mover                3
7850       movi                 9
7851       moviestar            1
7852       mow                  2
7853       moya                 10
7854       moynihan             5
7855       moyo                 1
7856       mozambiqu            2
7857       mph                  16
7858       mrclinton            1
7859       ms                   4
7860       msnbc                3
7861       msnbccom             2
7862       mtv                  1
7863       mubarak              6
7864       muchawait            1
7865       muchtalkedabout      1
7866       mud                  23
7867       mudbrick             2
7868       mudcov               1
7869       muddi                4
7870       muddl                3
7871       mudslid              5
7872       mueller              5
7873       muezzin              1
7874       muffl                3
7875       mugab                1
7876       muham                1
7877       muhammad             7
7878       mujahedeen           1
7879       mujahedin            1
7880       mujahid              1
7881       mull                 3
7882       mullah               1
7883       mulligan             1
7884       mullin               9
7885       mulshankar           3
7886       multifacet           2
7887       multilingu           1
7888       multimillion         1
7889       multimillionair      3
7890       multimilliondollar   2
7891       multin               4
7892       multiparti           2
7893       multipl              11
7894       multipli             1
7895       multistori           7
7896       multitud             2
7897       mum                  2
7898       mumbai               1
7899       munchak              1
7900       mundan               2
7901       munich               1
7902       municip              17
7903       munit                3
7904       muprhi               1
7905       muqbel               1
7906       murder               52
7907       murdoch              1
7908       murk                 1
7909       murki                3
7910       murmansk             5
7911       murmosk              1
7912       murousi              1
7913       murphi               21
7914       murray               2
7915       murtza               1
7916       muscl                4
7917       muscular             1
7918       muse                 1
7919       museum               7
7920       museum/muslim        1
7921       musharraf            4
7922       music                13
7923       musician             2
7924       muslim               58
7925       mustach              2
7926       muster               1
7927       mustnt               1
7928       mute                 9
7929       mutil                2
7930       mutin                1
7931       mutini               7
7932       muttawakil           1
7933       mutter               1
7934       mutual               1
7935       myakka               1
7936       myasthenia           1
7937       mydan                1
7938       myer                 4
7939       myong                2
7940       mysteri              17
7941       mystiqu              1
7942       myth                 2
7943       mythic               1
7944       naacp                1
7945       nab                  2
7946       nabil                1
7947       nachtig              4
7948       nacion               1
7949       nadejda              1
7950       nader                12
7951       nadia                1
7952       nadler               1
7953       nadu                 1
7954       nagel                1
7955       nagl                 1
7956       nagyova              3
7957       nailbit              1
7958       nailstud             2
7959       naina                5
7960       nainabehn            1
7961       nairobi              6
7962       nairri               1
7963       naiv                 1
7964       naji                 1
7965       najjar               1
7966       nake                 2
7967       nam                  4
7968       namast               1
7969       nambiar              1
7970       namesak              1
7971       namrata              5
7972       nanci                3
7973       nanni                1
7974       nanuet               1
7975       naoya                1
7976       nap                  2
7977       narayan              2
7978       narayanan            1
7979       narbheram            1
7980       narcot               13
7981       narr                 1
7982       narrow               28
7983       narrowlan            1
7984       narrowli             9
7985       nasa                 1
7986       nasdaq               1
7987       nashvil              7
7988       nasir                1
7989       nasr                 1
7990       nassou               2
7991       nasti                1
7992       nastier              1
7993       natalia              1
7994       nath                 1
7995       nati                 1
